date,open,high,low,close,volume,is_outlier
2024-06-17 00:00:00+00:00,177.92,188.81,177.0,187.44,109786083.0,False
2024-06-18 00:00:00+00:00,186.56,187.2,182.37,184.86,68982265.0,False
2024-06-20 00:00:00+00:00,184.68,185.21,179.66,181.57,55893139.0,False
2024-06-21 00:00:00+00:00,182.3,183.95,180.69,183.01,63029482.0,False
2024-06-24 00:00:00+00:00,184.97,188.8,182.55,182.58,61992070.0,False
2024-06-25 00:00:00+00:00,184.4,187.97,182.01,187.35,63678265.0,False
2024-06-26 00:00:00+00:00,186.54,197.755,186.36,196.37,95737066.0,False
2024-06-27 00:00:00+00:00,195.17,198.72,194.05,197.42,72746521.0,False
2024-06-28 00:00:00+00:00,199.55,203.2,195.26,197.88,95438068.0,False
2024-07-01 00:00:00+00:00,201.02,213.23,200.85,209.86,135691395.0,False
2024-07-02 00:00:00+00:00,218.89,231.3,218.06,231.26,205047920.0,False
2024-07-03 00:00:00+00:00,234.56,248.35,234.25,246.39,166561471.0,False
2024-07-05 00:00:00+00:00,249.81,252.37,242.4601,251.52,154501152.0,False
2024-07-08 00:00:00+00:00,247.71,259.439,244.57,252.94,157219580.0,False
2024-07-09 00:00:00+00:00,251.0,265.61,250.3,262.33,160742516.0,False
2024-07-10 00:00:00+00:00,262.8,267.59,257.86,263.26,128519430.0,False
2024-07-11 00:00:00+00:00,263.3,271.0,239.65,241.03,221707273.0,False
2024-07-12 00:00:00+00:00,235.8,251.84,233.0912,248.23,155955773.0,False
2024-07-15 00:00:00+00:00,255.97,265.6,251.73,252.64,146912920.0,False
2024-07-16 00:00:00+00:00,255.31,258.62,245.8001,256.56,126332470.0,False
2024-07-17 00:00:00+00:00,252.73,258.47,246.182,248.5,115584810.0,False
2024-07-18 00:00:00+00:00,251.09,257.14,247.2,249.23,110869037.0,False
2024-07-19 00:00:00+00:00,247.79,249.44,236.83,239.2,87403903.0,False
2024-07-22 00:00:00+00:00,244.21,253.21,243.75,251.51,101225430.0,False
2024-07-23 00:00:00+00:00,253.6,255.7594,245.63,246.38,111928192.0,False
2024-07-24 00:00:00+00:00,225.42,225.99,214.71,215.99,167942939.0,False
2024-07-25 00:00:00+00:00,216.8,226.0,216.231,220.25,100636466.0,False
2024-07-26 00:00:00+00:00,221.19,222.2799,215.33,219.8,94604145.0,False
2024-07-29 00:00:00+00:00,224.9,234.27,224.7,232.1,129201789.0,False
2024-07-30 00:00:00+00:00,232.25,232.41,220.0,222.62,100560334.0,False
2024-07-31 00:00:00+00:00,227.9,234.68,226.7875,232.07,67497011.0,False
2024-08-01 00:00:00+00:00,227.69,231.867,214.3328,216.86,83861898.0,False
2024-08-02 00:00:00+00:00,214.88,216.13,205.78,207.67,82880120.0,False
2024-08-05 00:00:00+00:00,185.22,203.8799,182.0,198.88,100308836.0,False
2024-08-06 00:00:00+00:00,200.75,202.9,192.67,200.64,73783942.0,False
2024-08-07 00:00:00+00:00,200.77,203.49,191.48,191.76,71159778.0,False
2024-08-08 00:00:00+00:00,195.7,200.7,192.04,198.84,65033874.0,False
2024-08-09 00:00:00+00:00,197.05,200.88,195.11,200.0,58648274.0,False
2024-08-12 00:00:00+00:00,199.02,199.26,194.67,197.49,64044903.0,False
2024-08-13 00:00:00+00:00,198.47,208.49,197.06,207.83,76247387.0,False
2024-08-14 00:00:00+00:00,207.39,208.44,198.75,201.38,70250014.0,False
2024-08-15 00:00:00+00:00,205.02,215.88,204.82,214.14,89848530.0,False
2024-08-16 00:00:00+00:00,211.15,219.8,210.8,216.12,88765122.0,False
2024-08-19 00:00:00+00:00,217.07,222.98,214.09,222.72,76435222.0,False
2024-08-20 00:00:00+00:00,224.88,228.22,219.56,221.1,74001182.0,False
2024-08-21 00:00:00+00:00,222.67,224.6594,218.86,223.27,70145964.0,False
2024-08-22 00:00:00+00:00,223.82,224.8,210.32,210.66,79514482.0,False
2024-08-23 00:00:00+00:00,214.455,221.48,214.21,220.32,81525207.0,False
2024-08-26 00:00:00+00:00,218.75,219.09,211.01,213.21,59301187.0,False
2024-08-27 00:00:00+00:00,213.25,215.66,206.94,209.21,62821390.0,False
2024-08-28 00:00:00+00:00,209.72,211.84,202.59,205.75,64116350.0,False
2024-08-29 00:00:00+00:00,209.8,214.89,205.97,206.28,62308818.0,False
2024-08-30 00:00:00+00:00,208.63,214.5701,207.03,214.11,63370608.0,False
2024-09-03 00:00:00+00:00,215.26,219.9043,209.64,210.6,76714222.0,False
2024-09-04 00:00:00+00:00,210.59,222.22,210.57,219.41,80217329.0,False
2024-09-05 00:00:00+00:00,223.49,235.0,222.25,230.17,119355013.0,False
2024-09-06 00:00:00+00:00,232.6,233.6,210.51,210.73,112177004.0,False
2024-09-09 00:00:00+00:00,216.2,219.87,213.67,216.27,67443518.0,False
2024-09-10 00:00:00+00:00,220.07,226.4,218.6377,226.17,78891136.0,False
2024-09-11 00:00:00+00:00,224.55,228.47,216.8003,228.13,83548633.0,False
2024-09-12 00:00:00+00:00,224.66,231.45,223.83,229.81,72020042.0,False
2024-09-13 00:00:00+00:00,228.0,232.67,226.32,230.29,59515114.0,False
2024-09-16 00:00:00+00:00,229.3,229.96,223.53,226.78,54322995.0,False
2024-09-17 00:00:00+00:00,229.45,234.57,226.5533,227.87,66761636.0,False
2024-09-18 00:00:00+00:00,230.09,235.68,226.88,227.2,78010204.0,False
2024-09-19 00:00:00+00:00,234.0,244.24,232.13,243.92,102694576.0,False
2024-09-20 00:00:00+00:00,241.52,243.99,235.92,238.25,99879070.0,False
2024-09-23 00:00:00+00:00,242.61,250.0,241.92,250.0,86927194.0,False
2024-09-24 00:00:00+00:00,254.08,257.19,249.0501,254.27,88490999.0,False
2024-09-25 00:00:00+00:00,252.54,257.05,252.28,257.02,65034318.0,False
2024-09-26 00:00:00+00:00,260.6,261.75,251.53,254.22,67142193.0,False
2024-09-27 00:00:00+00:00,257.375,260.6999,254.12,260.46,70988067.0,False
2024-09-30 00:00:00+00:00,259.04,264.86,255.77,261.63,80873381.0,False
2024-10-01 00:00:00+00:00,262.67,263.98,248.53,258.02,87397613.0,False
2024-10-02 00:00:00+00:00,247.55,251.1585,241.5,249.02,93983930.0,False
2024-10-03 00:00:00+00:00,244.48,249.79,237.81,240.66,80729240.0,False
2024-10-04 00:00:00+00:00,246.69,250.96,244.58,250.08,86726285.0,False
2024-10-07 00:00:00+00:00,249.0,249.83,240.7,240.83,68113270.0,False
2024-10-08 00:00:00+00:00,243.56,246.21,240.56,244.5,56303160.0,False
2024-10-09 00:00:00+00:00,243.82,247.43,239.51,241.05,66289529.0,False
2024-10-10 00:00:00+00:00,241.81,242.7899,232.34,238.77,83087063.0,False
2024-10-11 00:00:00+00:00,220.13,223.34,214.38,217.8,142628874.0,False
2024-10-14 00:00:00+00:00,220.13,221.91,213.74,219.16,86291923.0,False
2024-10-15 00:00:00+00:00,220.01,224.26,217.12,219.57,62988787.0,False
2024-10-16 00:00:00+00:00,221.4,222.8199,218.93,221.33,49632824.0,False
2024-10-17 00:00:00+00:00,221.59,222.08,217.9,220.89,50791784.0,False
2024-10-18 00:00:00+00:00,220.71,222.28,219.23,220.7,49611867.0,False
2024-10-21 00:00:00+00:00,218.9,220.48,215.726,218.85,47328988.0,False
2024-10-22 00:00:00+00:00,217.31,218.22,215.26,217.97,43268741.0,False
2024-10-23 00:00:00+00:00,217.125,218.72,212.11,213.65,80938892.0,False
2024-10-24 00:00:00+00:00,244.68,262.1199,242.65,260.48,204491903.0,False
2024-10-25 00:00:00+00:00,256.01,269.49,255.32,269.19,161611931.0,False
2024-10-28 00:00:00+00:00,270.0,273.536,262.24,262.51,107653603.0,False
2024-10-29 00:00:00+00:00,264.51,264.98,255.51,259.52,80521751.0,False
2024-10-30 00:00:00+00:00,258.035,263.35,255.8201,257.55,53993576.0,False
2024-10-31 00:00:00+00:00,257.99,259.75,249.25,249.85,66575292.0,False
2024-11-01 00:00:00+00:00,252.043,254.0,246.63,248.98,57544757.0,False
2024-11-04 00:00:00+00:00,244.56,248.9,238.88,242.84,68802354.0,False
2024-11-05 00:00:00+00:00,247.34,255.2799,246.2101,251.44,69282505.0,False
